id;value;description
1;Configuration;Product dedicated Tanzanian Shilling
2;California Music;Fords Indiana invoice
3;pink back up;violet Pula Refined Rubber Chair
4;invoice Louisiana Pa'anga;Jordanian Dinar
5;web-enabled;Arizona
6;Investment Account Investment Account;wireless Kansas Small
7;Automated;Security plug-and-play sensor
8;Tasty Money Market Account Home Loan Account;connecting generate
9;lime East Caribbean Dollar Granite;Mali Home Loan Account
10;installation Investment Account platforms;Borders payment Home Loan Account
