id;date_posted;expiry_date;type;status;default_price
1;2020-11-21T22:27:01;2020-11-22T08:51:09;SALES;REMOVED;24111
2;2020-11-22T16:05:14;2020-11-21T22:22:41;RENTAL;SOLD;93613
3;2020-11-22T04:31:56;2020-11-22T05:19:57;RENTAL;REMOVED;48886
4;2020-11-22T06:09:37;2020-11-22T01:45:42;RENTAL;AVAILABLE;3485
5;2020-11-22T02:31:05;2020-11-22T08:08:09;RENTAL;SOLD;14110
6;2020-11-22T00:17:16;2020-11-22T05:10:44;SALES;SOLD;98800
7;2020-11-22T05:16:39;2020-11-22T12:40:33;SALES;EXPIRED;54946
8;2020-11-22T16:51:14;2020-11-22T02:47:32;BOTH;SOLD;27601
9;2020-11-22T13:03:43;2020-11-22T14:39:10;BOTH;SOLD;19058
10;2020-11-22T14:26:00;2020-11-22T01:35:39;SALES;REMOVED;99077
